"","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","OBSERVATION.COUNT","BREEDING.BIRD.ATLAS.CODE","BREEDING.BIRD.ATLAS.CATEGORY","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","X"
"908","URN:CornellLabOfOrnithology:EBIRD:OBS531436207","2018-08-05 08:59:49",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"2","","","","Canada","CA","Quebec","CA-QC","Rimouski-Neigette","CA-QC-RM","CA-QC_041",14,"","","Rimouski","L6255338","P",48.45,-68.53333,"1996-04-29","","obsr292435","S39088606","Historical","P62","EBIRD_QC",60,NA,NA,1,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 496572. Observateur : Pierre Fradette.","",NA
"909","URN:CornellLabOfOrnithology:EBIRD:OBS328458567","2015-06-23 11:16:19",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"30","","","","Canada","CA","Alberta","CA-AB","Calgary","CA-AB-SI","",11,"","","Millarville Area","L3716660","P",50.75663,-114.32588,"1989-03-08","12:00:00","obsr570137","S24022253","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"CFNS trip number,890514-2,Observers : MacKay,J.M, Original location description - Hwy 549, 3 km W of Millarville","",NA
"910","URN:CornellLabOfOrnithology:EBIRD:OBS436699977","2016-10-16 22:11:43",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","United States","US","Vermont","US-VT","Bennington","US-VT-003","",13,"","","Chandlers Way home","L282294","P",42.8831893,-73.2182757,"1978-06-18","17:00:00","obsr7478","S32077362","Stationary","P21","EBIRD_VINS",10,NA,NA,1,1,"",0,1,0,NA,"80° Hot/humid/overcast.","",NA
"911","URN:CornellLabOfOrnithology:EBIRD:OBS487723571","2017-04-19 18:21:28",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"29","","","","Canada","CA","Quebec","CA-QC","Témiscamingue","CA-QC-TM","",12,"","","Lorrainville","L2504047","P",47.3538874,-79.3506663,"1999-02-06","","obsr333078","S36102866","Historical","P62","EBIRD",60,NA,NA,1,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 222667. Observateur : Jonathan Fréchette.","",NA
"912","URN:CornellLabOfOrnithology:EBIRD:OBS327489338","2015-06-17 18:25:58",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"3","","","","Canada","CA","Alberta","CA-AB","Calgary","CA-AB-SI","",11,"","","Millarville Area","L3716660","P",50.75663,-114.32588,"1987-08-14","12:00:00","obsr570137","S23951948","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"CFNS trip number,870876-2,Observers : MacKay,J.M, Original location description - Hwy 549, 2 km W of Millarville","",NA
"913","URN:CornellLabOfOrnithology:EBIRD:OBS344632601","2015-09-26 16:22:46",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"5","","","","Canada","CA","Quebec","CA-QC","Les Jardins-de-Napierville","CA-QC-JN","",13,"","","Hemmingford","L3928747","P",45.05,-73.58333,"1998-04-18","","obsr108682","S25191077","Historical","P62","EBIRD_QC",60,NA,NA,2,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 572156. Observateurs : Eve-Lyne Samson, A Lac.","",NA
"914","URN:CornellLabOfOrnithology:EBIRD:OBS328441245","2015-06-23 10:41:18",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"6","","","","Canada","CA","Alberta","CA-AB","Calgary","CA-AB-SI","",11,"","","Millarville Area","L3716660","P",50.75663,-114.32588,"1988-10-01","12:00:00","obsr570137","S24021038","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"CFNS trip number,880742-1,Observers : MacKay,J.M, Original location description - Hwy 549, 2 km W of Millarville","",NA
"915","URN:CornellLabOfOrnithology:EBIRD:OBS71719093","2018-08-03 19:32:53",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","United States","US","Colorado","US-CO","Denver","US-CO-031","",18,"","","Marston Reservoir & Bow Mar","L738126","P",39.6227472,-105.0566769,"1976-03-28","","obsr178425","S5089586","Incidental","P20","EBIRD",NA,NA,NA,NA,1,"",0,1,0,NA,"","",NA
"916","URN:CornellLabOfOrnithology:EBIRD:OBS682480899","2019-09-26 16:41:59",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"3","P ","C3","","Canada","CA","Ontario","CA-ON","Nipissing","CA-ON-NP","",12,"","","Algonquin Provincial Park--West Gate","L668631","H",45.4420671,-78.8202095,"1999-05-25","10:00:00","obsr981455","S50401308","Traveling","P22","EBIRD",30,0.805,NA,1,1,"",0,1,0,NA,"- Algonquin Trip # 31 - on this 6-day trip, I started off in the usual location - the parking area near the West Gate building, and walked a short distance down the trail located on the south side of Hwy. 60 -  on the first day of this very successful trip (May 25th) it rained on and off almost all  day long - but during the remaining 5 days the weather was beautiful and perfect for birding (on this 6-day trip I located 18 mammals species (2 sound-recorded) and 15 reptiles/amphibians (4 sound-recorded) (*) - indicates sound-recording made (see below)                                                                                                                                                   --                                                                                                                                                                                               MAMMALS OBSERVED - (1) Masked Shrew (2) Hairytail Mole (3) Little Brown Bat (4) Snowshoe Hare (5) Eastern Chipmunk (*) (6) Red Squirrel (*) (7) American Beaver (8) Northern Raccoon (9) Meadow Vole (10) Deer Mouse (11) Woodland Jumping Mouse (12) Eastern Wolf (13) Red Fox (14) American Marten (15) American Mink (16) Striped Skunk (17) White-tailed Deer (18) Moose  --                                                                                                                                                                         REPTILES/AMPHIBIANS OBSERVED - (1) Common Snapping Turtle (2) Midland Painted Turtle (3) Northern Water Snake (4) Eastern Garter Snake (5) Blue-spotted Salamander (6) Spotted Salamander (7) Eastern Red-backed Salamander (8) American Toad (*) (9) Spring Peeper (*) (10) Eastern Gray Treefrog (*) (11) American Bullfrog (12) Green Frog (*) (13) Mink Frog (14) Wood Frog (15) Northern Leopard Frog","",NA
"917","URN:CornellLabOfOrnithology:EBIRD:OBS327459830","2017-08-15 17:11:03",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"8","","","","Canada","CA","Alberta","CA-AB","Calgary","CA-AB-SI","",11,"","","Millarville Area","L3716660","P",50.75663,-114.32588,"1986-08-11","12:00:00","obsr570137","S23949409","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"CFNS trip number,860897-2,Observers : MacKay,J.M, Original location description - Hwy 549, 2 km W of Millarville","",NA
"918","URN:CornellLabOfOrnithology:EBIRD:OBS331813243","2017-08-15 17:12:50",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"37","","","","Canada","CA","Alberta","CA-AB","Banff","CA-AB-FN","",6,"","","Sheep River PP--Windy Point","L1","H",50.6594867,-114.5731638,"1992-10-04","08:00:00","obsr570137","S24268433","Historical","P62","EBIRD",600,NA,NA,3,1,"",0,1,0,NA,"CFNS trip number,920539-3,Observers : Smith,W.W;Wershler,C.R;Wershler,R.M, Original location description - Windy Point, W of Turner Valley","",NA
"919","URN:CornellLabOfOrnithology:EBIRD:OBS324495028","2015-06-01 17:53:45",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"3","","","","Canada","CA","British Columbia","CA-BC","Columbia-Shuswap","CA-BC-CS","",10,"","","Campbell Rd, off Horse Creek Rd.","L3640844","P",51.2112077,-116.8837874,"1985-01-13","","obsr598514","S23739947","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"backyard feeder and yard throughout day","",NA
"920","URN:CornellLabOfOrnithology:EBIRD:OBS62229857","2015-04-07 08:52:33",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"7","","","","Canada","CA","Newfoundland and Labrador","CA-NL","Bonavista/Trinity-Clarenville","CA-NL-SE","CA-NF_017",8,"","","NL--Terra Nova NP","L453866","H",48.5263802,-53.950295,"1990-06-24","04:30:00","obsr150594","S4518164","Traveling","P22","EBIRD_CAN",285,40.233,NA,NA,1,"",0,1,0,NA,"This was the Clode Breeding Bird Survey, oart of which is in Terra Nova NP.","",NA
"921","URN:CornellLabOfOrnithology:EBIRD:OBS628208966","2018-06-06 01:28:39",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"6","","","","United States","US","Colorado","US-CO","Boulder","US-CO-013","",18,"","","Bobolink Trail","L371786","H",39.9997091,-105.2147341,"1975-12-07","","obsr20770","S46338930","Historical","P62","EBIRD",NA,NA,NA,2,1,"G3262732",0,1,0,NA,"With Bruce Webb. Date may be off, but it was early December. Warm, 65º F.","",NA
"922","URN:CornellLabOfOrnithology:EBIRD:OBS830567734","2019-11-22 14:27:58",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"8","","","","Canada","CA","Ontario","CA-ON","Renfrew","CA-ON-RE","",12,"","","Chalk River--General Location","L5529296","P",46.017659,-77.4502444,"1975-12-19","","obsr850261","S61652796","Historical","P62","EBIRD",NA,NA,NA,NA,0,"",0,1,0,NA,"145 Feeder","",NA
"923","URN:CornellLabOfOrnithology:EBIRD:OBS585752541","2018-03-08 12:39:20",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"5","","","","United States","US","Massachusetts","US-MA","Essex","US-MA-009","US-MA_635",30,"","","Ocean Ave view of Boston","L4405505","P",42.4895045,-70.8444357,"1981-08-15","06:20:00","obsr290902","S43478200","Traveling","P22","EBIRD",55,1,NA,1,1,"",0,1,0,NA,"","",NA
"924","URN:CornellLabOfOrnithology:EBIRD:OBS391031637","2016-04-13 23:03:48",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"1","","","","United States","US","Michigan","US-MI","Washtenaw","US-MI-161","",23,"","","Ann Arbor","L131240","T",42.2708397,-83.7263412,"1966-04-08","09:00:00","obsr227449","S28931338","Stationary","P21","EBIRD",40,NA,NA,1,1,"",0,1,0,NA,"","",NA
"925","URN:CornellLabOfOrnithology:EBIRD:OBS124183282","2016-09-12 10:25:55",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","United States","US","New York","US-NY","Cattaraugus","US-NY-009","US-NY_850",28,"","","Nine Mile Creek State Forest--west","L1251005","P",42.1364459,-78.578124,"1967-03-12","09:00:00","obsr211537","S8668951","Traveling","P22","EBIRD",180,6.437,NA,2,1,"",0,1,0,NA,"Companion was Stephen Eaton.  Walked in from end of Ten Mile.","",NA
"926","URN:CornellLabOfOrnithology:EBIRD:OBS232785307","2014-09-24 17:52:50",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"2","","","","United States","US","Washington","US-WA","Kittitas","US-WA-037","",9,"","","Swauk Prairie","L277313","H",47.20288,-120.7382406,"1995-08-19","","obsr198755","S16816879","Historical","P62","EBIRD",NA,NA,NA,2,1,"",0,1,0,NA,"Exact time of day and duration not known.","",NA
"927","URN:CornellLabOfOrnithology:EBIRD:OBS461364186","2018-08-04 10:44:51",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","United States","US","New York","US-NY","Cayuga","US-NY-011","",13,"","","509 Powers Rd N","L4760495","P",42.64242,-76.655705,"1997-08-29","","obsr689708","S34014806","Historical","P62","EBIRD",NA,NA,NA,NA,0,"",0,1,0,NA,"Family cottage visit over Labor Day weekend, August 29-September 1, 1997.","Several",NA
"928","URN:CornellLabOfOrnithology:EBIRD:OBS467535836","2017-02-19 18:11:32",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"2","","","","Canada","CA","Quebec","CA-QC","Les Laurentides","CA-QC-LL","",12,"","","Val-Morin","L5476306","P",46,-74.18333,"1995-04-23","","obsr179756","S34529308","Historical","P62","EBIRD_QC",120,NA,NA,1,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 506541. Observateur : Yves Gauthier.","",NA
"929","URN:CornellLabOfOrnithology:EBIRD:OBS488229321","2017-04-25 23:18:59",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"85","","","","Canada","CA","Quebec","CA-QC","Témiscouata","CA-QC-TT","",14,"","","Saint-Eusèbe","L5727383","P",47.55,-68.91667,"1998-01-24","","obsr376390","S36137177","Historical","P62","EBIRD_QC",NA,NA,NA,1,1,"",0,1,1,NA,"Feuillet d'ÉPOQ no 592283. Observateur : Marco Beaulieu.","",NA
"930","URN:CornellLabOfOrnithology:EBIRD:OBS488230098","2017-04-21 08:53:25",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"22","","","","Canada","CA","Quebec","CA-QC","Témiscouata","CA-QC-TT","",14,"","","Saint-Eusèbe","L5727383","P",47.55,-68.91667,"1998-03-07","","obsr376390","S36137230","Historical","P62","EBIRD_QC",100,NA,NA,1,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 593191. Observateur : Marco Beaulieu.","",NA
"931","URN:CornellLabOfOrnithology:EBIRD:OBS446947184","2016-12-03 22:03:43",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","United States","US","Vermont","US-VT","Bennington","US-VT-003","",13,"","","Chandlers Way home","L282294","P",42.8831893,-73.2182757,"1980-12-26","08:00:00","obsr7478","S32845415","Stationary","P21","EBIRD_VINS",30,NA,NA,1,1,"",0,1,0,NA,"0° Clear/warmer.","",NA
"932","URN:CornellLabOfOrnithology:EBIRD:OBS429644290","2016-09-13 14:14:48",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","United States","US","Vermont","US-VT","Bennington","US-VT-003","",13,"","","Chandlers Way home","L282294","P",42.8831893,-73.2182757,"1976-02-26","08:30:00","obsr7478","S31563820","Stationary","P21","EBIRD_VINS",15,NA,NA,1,1,"",0,1,0,NA,"44°  Sunny/warm.","",NA
"933","URN:CornellLabOfOrnithology:EBIRD:OBS662208908","2018-10-01 11:07:29",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"15","","","","Canada","CA","Quebec","CA-QC","Montréal","CA-QC-MR","",13,"","","Montréal, Jardin botanique","L7977421","P",45.56667,-73.56667,"1997-02-23","","obsr506273","S48863337","Historical","P62","EBIRD",180,NA,NA,2,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 436177. Observateurs : Béatrice Bellocq, Gert-Uwe Schonbeck.","",NA
"934","URN:CornellLabOfOrnithology:EBIRD:OBS137079879","2014-10-06 19:22:17",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","Canada","CA","Newfoundland and Labrador","CA-NL","Avalon Peninsula-St. John's","CA-NL-ON","",8,"","","La Manche PP, Tors Cove NF","L1388090","P",47.1696,-52.8853,"1996-08-28","00:00:00","obsr197748","S9660684","Stationary","P21","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"","",NA
"935","URN:CornellLabOfOrnithology:EBIRD:OBS445841402","2016-11-27 20:30:18",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","United States","US","Vermont","US-VT","Bennington","US-VT-003","",13,"","","Chandlers Way home","L282294","P",42.8831893,-73.2182757,"1980-02-26","10:00:00","obsr7478","S32758110","Stationary","P21","EBIRD_VINS",60,NA,NA,1,1,"",0,1,0,NA,"14° Sun/clouds.","",NA
"936","URN:CornellLabOfOrnithology:EBIRD:OBS327455641","2018-08-06 16:01:01",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"4","","","","Canada","CA","Alberta","CA-AB","Calgary","CA-AB-SI","",11,"","","Millarville Area","L3716660","P",50.75663,-114.32588,"1986-05-24","12:00:00","obsr570137","S23949040","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"CFNS trip number,860849-3,Observers : MacKay,J.M, Original location description - Hwy 549, 2 km W of Millarville","",NA
"937","URN:CornellLabOfOrnithology:EBIRD:OBS328432755","2018-08-22 14:14:37",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"10","","","","Canada","CA","Alberta","CA-AB","Calgary","CA-AB-SI","",11,"","","Millarville Area","L3716660","P",50.75663,-114.32588,"1988-03-01","12:00:00","obsr570137","S24020121","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"CFNS trip number,880573-1,Observers : MacKay,J.M, Original location description - Hwy 549, 2 km W of Millarville","",NA
"938","URN:CornellLabOfOrnithology:EBIRD:OBS488230712","2017-04-21 08:53:37",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"21","","","","Canada","CA","Quebec","CA-QC","Témiscouata","CA-QC-TT","",14,"","","Saint-Eusèbe","L5727383","P",47.55,-68.91667,"1998-04-10","","obsr376390","S36137269","Historical","P62","EBIRD_QC",135,NA,NA,2,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 593225. Observateurs : C Bea, Marco Beaulieu.","",NA
"939","URN:CornellLabOfOrnithology:EBIRD:OBS52552951","2013-09-24 12:07:35",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","United States","US","Illinois","US-IL","DuPage","US-IL-043","",22,"","","60187 Wheaton","L82011","PC",41.85552,-88.10972,"1997-09-07","","obsr101977","S3785470","Incidental","P20","EBIRD",NA,NA,NA,2,0,"",0,1,0,NA,"","",NA
"940","URN:CornellLabOfOrnithology:EBIRD:OBS71718573","2020-01-09 16:14:53",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"4","","","","United States","US","Colorado","US-CO","Denver","US-CO-031","",18,"","","Marston Reservoir & Bow Mar","L738126","P",39.6227472,-105.0566769,"1969-04-06","","obsr178425","S5089567","Incidental","P20","EBIRD",NA,NA,NA,NA,1,"",0,1,0,NA,"","",NA
"941","URN:CornellLabOfOrnithology:EBIRD:OBS21857232","2012-08-10 09:34:10",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"6","","","","United States","US","Vermont","US-VT","Windsor","US-VT-027","",14,"","","Woodstock","L153086","T",43.62427,-72.51844,"1997-03-02","","obsr27544","S1653598","Incidental","P20","EBIRD_VINS",NA,NA,NA,NA,0,"",0,1,0,NA,"CRP-sra","",NA
"942","URN:CornellLabOfOrnithology:EBIRD:OBS328458571","2015-06-23 11:16:19",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"30","","","","Canada","CA","Alberta","CA-AB","Calgary","CA-AB-SI","",11,"","","Millarville Area","L3716660","P",50.75663,-114.32588,"1989-03-09","12:00:00","obsr570137","S24022254","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"CFNS trip number,890514-3,Observers : MacKay,J.M, Original location description - Hwy 549, 3 km W of Millarville","",NA
"943","URN:CornellLabOfOrnithology:EBIRD:OBS494579377","2019-07-23 17:11:50",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"1","","","","United States","US","New York","US-NY","Suffolk","US-NY-103","US-NY_2799",30,"","","Montauk Point SP","L109151","H",41.0719093,-71.8838119,"1988-11-24","07:30:00","obsr194141","S36555786","Traveling","P22","EBIRD",150,3.219,NA,3,1,"",0,1,0,NA,"","",NA
"944","URN:CornellLabOfOrnithology:EBIRD:OBS593562062","2018-03-30 17:25:24",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"1","","","","Canada","CA","Quebec","CA-QC","Le Domaine-du-Roy","CA-QC-DD","",8,"","","St-Félicien","L7144372","P",48.6484485,-72.4481392,"1989-12-18","","obsr519197","S44097101","Historical","P62","EBIRD_QC",NA,NA,NA,1,0,"",0,1,0,NA,"Source : Carnet d'observations no1 - Printemps 1989 à printemps 1990. Aux mangeoires du CEGEP.","",NA
"945","URN:CornellLabOfOrnithology:EBIRD:OBS508797707","2018-11-02 15:51:47",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"1","","","","Canada","CA","Quebec","CA-QC","Charlevoix-Est","CA-QC-CE","",NA,"","","Baie-Sainte-Catherine","L5942047","P",48.1026474,-69.7250688,"1997-02-28","","obsr445129","S37431334","Historical","P62","EBIRD_QC",255,NA,NA,3,1,"G2522290",0,1,0,NA,"Feuillet d'ÉPOQ no 387475. Observateurs : Claude Auchu, Christiane Girard, Adalbert Bouchard","",NA
"946","URN:CornellLabOfOrnithology:EBIRD:OBS178601547","2015-01-09 14:44:27",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"5","","","","United States","US","New York","US-NY","Tompkins","US-NY-109","",28,"","","McLean Bog","L476669","H",42.5438484,-76.2658882,"1930-10-18","13:00:00","obsr105773","S12753025","Historical","P62","EBIRD",NA,NA,NA,NA,1,"",0,1,0,NA,"(to 5:00 PM), Observer: R.J. Clausen, Entered by Nathaniel Hernandez","",NA
"947","URN:CornellLabOfOrnithology:EBIRD:OBS287419538","2018-08-06 16:36:52",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","Canada","CA","Ontario","CA-ON","Lambton","CA-ON-LM","CA-ON_024",NA,"","","Kettle Point","L596701","H",43.2164986,-82.0165443,"1988-05-16","08:00:00","obsr135713","S21055089","Traveling","P22","EBIRD_CAN",120,9,NA,2,1,"",0,1,0,NA,"With Linda Wladarski","",NA
"948","URN:CornellLabOfOrnithology:EBIRD:OBS327460219","2015-06-17 17:34:54",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"15","","","","Canada","CA","Alberta","CA-AB","Calgary","CA-AB-SI","",11,"","","Millarville Area","L3716660","P",50.75663,-114.32588,"1986-10-14","12:00:00","obsr570137","S23949443","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"CFNS trip number,860909-2,Observers : MacKay,J.M, Original location description - Hwy 549, 2 km W of Millarville","",NA
"949","URN:CornellLabOfOrnithology:EBIRD:OBS433217363","2018-08-04 03:52:57",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"10","","","","Canada","CA","Manitoba","CA-MB","North East Northern Region","CA-MB-NT","",6,"","","Grand Marais/Grand Beach","L791761","P",50.5483445,-96.6288757,"1999-11-06","11:00:00","obsr190699","S31829966","Historical","P62","EBIRD_CAN",NA,NA,NA,12,0,"",0,1,0,NA,"","",NA
"950","URN:CornellLabOfOrnithology:EBIRD:OBS413362224","2018-12-10 15:52:51",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","Canada","CA","Quebec","CA-QC","Les Basques","CA-QC-BA","",14,"","","Mon chalet à Saint-Simon-sur-Mer","L4712903","P",48.1976759,-69.0958071,"1989-05-07","","obsr738814","S30331110","Historical","P62","EBIRD",NA,NA,NA,2,0,"",0,1,0,NA,"Les observations ont été faites du 4 au 9 mai 1989.","",NA
"951","URN:CornellLabOfOrnithology:EBIRD:OBS660257109","2018-09-24 20:08:52",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","United States","US","Vermont","US-VT","Washington","US-VT-023","US-VT_821",14,"","","Berlin Pond IBA - Berlin (293 acres)","L150998","H",44.1899195,-72.5875116,"1997-04-26","","obsr135073","S48726941","Historical","P62","EBIRD_VINS",NA,NA,NA,NA,1,"",0,1,0,NA,"","",NA
"952","URN:CornellLabOfOrnithology:EBIRD:OBS212530640","2015-11-17 12:21:09",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"8","","","","Canada","CA","Nova Scotia","CA-NS","Victoria","CA-NS-VI","CA-NS_056",NA,"","","Cape Breton Highlands NP--Middle Head","L954409","H",46.6562115,-60.3722763,"1970-03-28","12:05:00","obsr224705","S15285617","Traveling","P22","EBIRD",120,1.5,NA,1,1,"",0,1,0,NA,"Walk the length of Middle Head.  Mostly clear, windy.","",NA
"953","URN:CornellLabOfOrnithology:EBIRD:OBS69473434","2017-12-13 12:59:18",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","Canada","CA","British Columbia","CA-BC","Metro Vancouver","CA-BC-GV","CA-BC_017",5,"","","Boundary Bay - 112th St., Delta","L339314","H",49.0837729,-122.9123354,"1997-11-08","10:00:00","obsr109652","S4938853","Traveling","P22","EBIRD_CAN",120,4,NA,2,1,"",0,1,0,NA,"","",NA
"954","URN:CornellLabOfOrnithology:EBIRD:OBS98611698","2017-01-19 15:59:56",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","Canada","CA","New Brunswick","CA-NB","Charlotte","CA-NB-CH","",14,"","","Grand Manan Island","L163646","P",44.70611,-66.79793,"1991-07-15","","obsr5435","S6903060","Historical","P62","EBIRD_CAN",NA,NA,NA,1,0,"",0,1,0,NA,""," ",NA
"955","URN:CornellLabOfOrnithology:EBIRD:OBS414454000","2018-01-12 17:33:21",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"4","","","","United States","US","Kansas","US-KS","Riley","US-KS-161","",22,"","","Konza Prairie: Bird Transect No. 16-S00A","L4740524","P",39.10957,-96.54412,"1983-01-04","10:01:00","obsr775490","S30415632","Traveling","P22","EBIRD",56,1.3,NA,1,1,"",0,1,0,NA,"Observer=E.J. Finck; Data uploaded by B.K. Sandercock","",NA
"956","URN:CornellLabOfOrnithology:EBIRD:OBS327490182","2015-06-17 18:25:58",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"10","","","","Canada","CA","Alberta","CA-AB","Calgary","CA-AB-SI","",11,"","","Millarville Area","L3716660","P",50.75663,-114.32588,"1987-01-06","12:00:00","obsr570137","S23952129","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"CFNS trip number,870829-3,Observers : MacKay,J.M, Original location description - Hwy 549, 2 km W of Millarville","",NA
"957","URN:CornellLabOfOrnithology:EBIRD:OBS536911979","2017-09-29 20:42:48",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"1","","","","Canada","CA","Quebec","CA-QC","La Vallée-de-l'Or","CA-QC-VO","",12,"","","Réservoir Cabonga","L6309614","P",47.33333,-76.58333,"1999-07-22","","obsr508046","S39464618","Historical","P62","EBIRD_QC",120,NA,NA,1,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 298290. Observateur : Jean-Pierre Artigau.","",NA
"958","URN:CornellLabOfOrnithology:EBIRD:OBS131286369","2018-08-04 07:13:27",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"20","","","","Canada","CA","Ontario","CA-ON","Wellington","CA-ON-WL","",13,"","","Guelph--Guelph Reservoir","L382129","H",43.5946895,-80.2466726,"1983-11-27","10:00:00","obsr151925","S9204734","Traveling","P22","EBIRD_CAN",60,2,NA,1,1,"",0,1,0,NA,"Walk around west side.","",NA
"959","URN:CornellLabOfOrnithology:EBIRD:OBS48074038","2018-08-06 21:57:49",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"2","","","","United States","US","New York","US-NY","Oswego","US-NY-075","",13,"","","Depot Rd RR grade","L271452","P",43.2761534,-76.0686757,"1998-05-27","","obsr14521","S3506010","Incidental","P20","EBIRD",NA,NA,NA,NA,0,"",0,1,0,NA,"","",NA
